year,week,fin_mark,catch,catch_original,notes
2023,39,AD,0,NA,NA
2023,39,UM,0,NA,NA
2023,40,AD,0,NA,NA
2023,40,UM,0,NA,NA
2023,41,AD,57,57,NA
2023,41,UM,24,24,NA
2023,42,AD,1,1,NA
2023,42,UM,5,5,NA
2023,43,AD,0,NA,NA
2023,43,UM,0,NA,NA
2023,44,AD,0,NA,NA
2023,44,UM,0,NA,NA
2023,45,AD,0,NA,NA
2023,45,UM,0,NA,NA
2023,46,AD,0,NA,NA
2023,46,UM,0,NA,NA
2024,29,AD,0,NA,NA
2024,29,UM,0,NA,NA
2024,30,AD,0,NA,NA
2024,30,UM,0,NA,NA
2024,31,AD,0,NA,NA
2024,31,UM,0,NA,NA
2024,32,AD,0,NA,NA
2024,32,UM,0,NA,NA
2024,33,AD,124,124,NA
2024,33,UM,17,17,NA
2024,34,AD,305,305,NA
2024,34,UM,33,33,NA
2024,35,AD,441,441,NA
2024,35,UM,68,68,NA
2024,36,AD,669,669,NA
2024,36,UM,101,101,NA
2024,37,AD,300,300,drift gill net
2024,37,UM,57,57,drift gill net
2024,38,AD,0,NA,NA
2024,38,UM,0,NA,NA
2024,39,AD,0,NA,NA
2024,39,UM,0,NA,NA
2024,40,AD,0,NA,NA
2024,40,UM,0,NA,NA
2024,41,AD,41,41,NA
2024,41,UM,46,46,NA
2024,42,AD,6,6,NA
2024,42,UM,14,14,NA
2024,43,AD,0,NA,NA
2024,43,UM,0,NA,NA
2024,44,AD,0,NA,NA
2024,44,UM,0,NA,NA
2024,45,AD,0,NA,NA
2024,45,UM,0,NA,NA
2024,46,AD,0,NA,NA
2024,46,UM,0,NA,NA
