X2.5.,X10.,X50.,X90.,X97.5.,freq_significant
-19.85375059096252,-17.80620420343924,-0.3269632337021283,1.252762968493967,2.1972245658736163,0.08878504672897196
-19.566068519083004,-17.872921333133867,-0.4054651081058295,1.0986122886679066,1.791759469225898,0.06542056074766354
-20.136148646977226,-17.670475639436212,-0.2876820724515801,1.2830099782793134,2.2314667449209393,0.08411214953271028
-19.566068518509454,-17.585239256851587,-0.40546510810539926,1.2186098535763465,2.079441540182194,0.05841121495327103
-19.647745708898995,-17.76188015040185,-0.4054651081053985,1.0986122886651422,1.8227352776630332,0.08177570093457943
-20.259215699067582,-17.76188015040232,-0.4054651081081636,1.2076995603219798,1.8958872678491299,0.07476635514018691
-20.331737353245348,-18.16060340175579,-0.40546510810539893,1.3125420001591879,2.290721239421339,0.10046728971962617
-19.892030075218756,-17.64977777798956,-0.3285040669710949,1.3223712964689534,2.197224577336012,0.0794392523364486
-19.638590172687774,-17.7187706494755,-0.2876820694382384,1.2722380814630034,2.3025850929939073,0.08177570093457943
-19.63859017388872,-17.87292132930382,-0.40546510810539915,1.098612288667907,1.8852561427726093,0.07009345794392523
-19.971533626617084,-17.729680942727526,-0.3656841966912777,1.2667189731846016,1.841858440158604,0.0911214953271028
-20.25921569407987,-18.229596270693282,-0.3527848490486263,1.0986122886679066,1.9129767882275313,0.09813084112149532
-19.85375059096245,-17.670475639435388,-0.4054651081081637,1.3217558399804088,2.0794415401821937,0.07009345794392523
-20.259215699070705,-17.98673310805096,-0.4054651081091798,1.098612288665143,2.0794415416794294,0.08177570093457943
-20.25921569907234,-18.021089769927777,-0.40546510810539826,1.2186098535762,2.0507138015846262,0.08878504672897196
-19.971533626616498,-17.872921329303825,-0.40546510810816416,1.190034457412024,2.197224577332146,0.0794392523364486
-19.971533626619063,-18.160603401755598,-0.2876820724506166,1.3985409594752505,2.484906649784829,0.09345794392523364
-20.259215699069433,-17.60460081319295,-0.3801779651288941,1.0986122886659722,1.791759469224885,0.06775700934579439
-19.971533626618154,-18.160603401756553,-0.4054651081080628,1.186250338736308,2.1972245773302843,0.08878504672897196
-19.97153362661721,-18.006452721928348,-0.33248815179568625,1.098612288665143,2.079441540668796,0.0794392523364486
-20.136148648236208,-17.872921329306088,-0.4054651081053985,1.1840931721601795,2.1782092353795344,0.09345794392523364
-19.415446621371203,-17.80620420344082,-0.4054651081081629,1.3363928910352847,2.197224565873615,0.07476635514018691
-20.136148648234574,-17.71877064947583,-0.4054651081053995,1.3862943611196863,2.3335609014303813,0.08411214953271028
-19.89203007814568,-17.986733108052174,-0.1926312003953137,1.2992829841300861,2.117721022749783,0.10514018691588785
-20.25921569407753,-17.912980747091154,-0.405465108107961,1.0986122886679066,1.8418584401713884,0.08411214953271028
-20.259215699071152,-17.729680943716986,-0.22314355076516323,1.386294361119686,2.484906649785777,0.08411214953271028
-20.06503030016505,-17.75513829364727,-0.3233135824624965,1.0986122886679066,2.0618919199049586,0.07009345794392523
-20.25921569906963,-18.00645272192869,-0.25131442827910877,1.0986122886659717,1.8437102970331012,0.0911214953271028
-19.971533626682046,-17.583060652125745,-0.3515987582080278,1.2186098535763454,2.117721022749783,0.07242990654205607
-19.971533626619035,-17.84626362122779,-0.4054651081079622,1.2789064640016758,2.5109205297787773,0.09345794392523364
-20.07689413668136,-17.777611149499485,-0.3900792787747122,1.2241875723307274,2.3947729597654015,0.08644859813084112
-20.66468080215751,-18.006452721929254,-0.43952327932919566,1.0986122886659722,1.8575938021149703,0.08411214953271028
-19.971533626617564,-17.729680942727686,-0.40546510742027997,1.098612288667907,1.7917594692280023,0.06074766355140187
-20.13614864823402,-17.91298074709116,-0.4054651081053987,1.1349799328378145,1.7917594692280023,0.07710280373831775
-20.169082009049127,-17.761880150402355,-0.4054651081079621,1.0986122886679066,2.0358780399118417,0.08411214953271028
-19.566068518510967,-17.986733108049894,-0.287682072454544,1.386294361119686,2.035878039425241,0.08411214953271028
-20.13614864823466,-17.912980747091805,-0.2876820724545449,1.2186098535749241,2.03587803990855,0.07009345794392523
